col1	col2	data
A2	X2	-0.8969145466249814
A2	X2	0.1848491846467425
A2	X2	1.5878453312088232
A2	X2	-1.1303756742462854
A2	X2	-0.08025175655098929
A2	X2	0.13242028438109446
A2	X2	0.7079547292717333
A2	X2	-0.2396980241718401
A2	X2	1.9844739366529267
A2	X2	-0.13878701211966474
A2	X2	0.4176507507925557
A2	X2	0.9817527774636617
A2	X2	-0.3926953555038127
A2	X2	-1.0396689769489134
A2	X2	1.782228960308575
A2	X2	-2.3110690846051667
A2	X2	0.8786045809212646
A2	X2	0.035806718015225954
A2	X2	1.0128286921270826
A2	X2	0.4322651545396166
A2	X2	2.0908192052491454
A2	X2	-1.1999258196438711
A2	X2	1.5896382002900704
A2	X2	1.9546516422232536
A2	X2	0.004937776828142606
A2	X2	-2.451706387846126
A2	X2	0.47723730261361696
A2	X2	-0.5965581686314033
A2	X2	0.7922032702996493
A2	X2	0.2896367101773477
A2	X2	0.7389386037621251
A2	X2	0.31896040109764867
A2	X2	1.0761643538120047
A2	X2	-0.28415772048824606
A2	X2	-0.7766752739797577
A2	X2	-0.5956604986917766
A2	X2	-1.7259797791460327
A2	X2	-0.9025844797636879
A2	X2	-0.5590619149004658
A2	X2	-0.24651256733351554
A2	X2	-0.38358622843144385
A2	X2	-1.9591031751671286
A2	X2	-0.8417050601356082
A2	X2	1.9035474673476436
A2	X2	0.6224939301207372
A2	X2	1.9909204355803138
A2	X2	-0.3054837248414542
A2	X2	-0.09084423520075918
A2	X2	-0.18416145155126137
A2	X2	-1.1987677653074125
A2	X2	-0.8382871476020438
A2	X2	2.066301355731238
A2	X2	-0.5622470533424943
A2	X2	1.2757155118509207
A2	X2	-1.0475726269949812
A2	X2	-1.965878241447325
A2	X2	-0.32297109375997235
A2	X2	0.9358625268086331
A2	X2	1.1392298027340828
A2	X2	1.6716187673259948
A2	X2	-1.7882422067648542
A2	X2	2.0312425187552487
A2	X2	-0.7031443329938856
A2	X2	0.15816476256012219
A2	X2	0.50623479748072
A2	X2	-0.819995105616198
A2	X2	-1.9988469949641237
A2	X2	-0.4792925914516408
A2	X2	0.08417990432224265
A2	X2	-0.895486610663309
A2	X2	-0.921275665507737
A2	X2	0.330449503465315
A2	X2	-0.14166080893608135
A2	X2	0.43484776150269844
A2	X2	-0.05372262601718401
A2	X2	-0.9071103755934892
A2	X2	1.303512232422266
A2	X2	0.7717897755398605
A2	X2	1.0525255953076438
A2	X2	-1.4100383406637087
A2	X2	0.9959845897777508
A2	X2	-1.6957649033790245
A2	X2	-0.5333721425471967
A2	X2	-1.3722694511430804
A2	X2	-2.207919778804642
A2	X2	1.8221225187535568
A2	X2	-0.6533934108187789
A2	X2	-0.28468121935506796
A2	X2	-0.38694960364493114
A2	X2	0.38669497464607283
A2	X2	1.6003908515395235
A2	X2	1.6811549557668157
A2	X2	-1.1836063882272578
A2	X2	-1.358457253563199
A2	X2	-1.5126707947210034
A2	X2	-1.2531048993691982
A2	X2	1.9593570771456046
A2	X2	0.007645872132767506
A2	X2	-0.8426151975896328
A2	X2	-0.6011601051523489
A2	Y2	1.0744594064128445
A2	Y2	0.2605978350921591
A2	Y2	-0.31427198017191976
A2	Y2	-0.7496300954830777
A2	Y2	-0.8621983296858066
A2	Y2	2.04804030304848
A2	Y2	0.9399200776133749
A2	Y2	2.0086871159153503
A2	Y2	-0.42137357240535306
A2	Y2	-0.35083442314785873
A2	Y2	-1.0273805980867567
A2	Y2	-0.250519126720292
